"%s and greater","%s et plus"
"Advanced Search","Recherche avancée"
"All","Tous"
"Autogenerated site map","Plan du site généré automatiquement"
"Catalog Advanced Search","Recherche avancée dans le catalogue"
"Go to Home Page","Allez à la page d'accueil"
"Grid","Grille"
"Home","Accueil"
"List","Liste"
"Name","Nom"
"No","Non"
"Popular Search Terms","Termes de recherche populaires"
"Popular search terms","Termes de recherche populaires"
"Price","Prix"
"Required Fields","Champs obligatoires"
"Results","Résultats"
"Search","Recherche"
"Search Settings","Paramètres de recherche"
"Search Site","Rechercher sur le site"
"Search Terms","Termes de recherche"
"Search entire store here...","Votre recherche..."
"Search results for '%s'","Résultats de recherche pour '%s'"
"Search results for: '%s'","Résultats de recherche pour : '%s'"
"Subscribe to Feed","S'abonner au flux"
"There are no search terms available.","Aucun terme de recherche disponible."
"Yes","Oui"
"You have to specify at least one search term","Vous devez spécifier au moins un terme de recherche"
"Your search returns no results.","Aucun résultat pour votre recherche."
"up to %s","jusqu'à %s"
"Catalog Search","Recherche catalogue"
"Minimal Query Length","Longueur mini de requête"
"Maximum Query Length","Longueur maxi de requête"
"Maximum Query Words Count","Nombre maxi de mots dans la requête"
"Applies for ""Like"" Search type only","S'applique au type de recherche ""Like"" uniquement"
"Search Type","Type de recherche"
"Apply Layered Navigation if search results are less than","Appliquer la navigation par filtres si les résultats de recherche sont moins de"
"Please enter ""0"" to enable layered navigation for any number of results","Saisissez ""0"" pour activer la navigation par filtres pour n'importe quel quantité de résultats"
